Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2003:Q2,pct40to60,4662400,6027408,2231079,545675,454040,1521999,348107,926508,1365008,918672,421317,25019
2003:Q2,pct20to40,2876773,3577714,1427808,348661,173156,666849,275518,685722,700941,416882,275944,8115
2003:Q2,pct00to20,1374526,1663648,679683,184044,120939,160679,213043,305260,289121,146635,135251,7235
2003:Q3,pct99to100,8917764,9539965,2070849,454847,2509400,632450,1756152,2116266,622201,469592,46419,106190
2003:Q3,pct80to99,19843902,23779641,7103214,1269501,3389963,5804685,2350646,3861632,3935739,3069556,612769,253414
2003:Q3,pct60to80,8614904,10796568,3639080,817417,806895,3224281,630064,1678831,2181664,1620423,549251,11990
2003:Q3,pct40to60,4759987,6174734,2317357,559543,473076,1556448,354923,913387,1414748,954636,432043,28069
2003:Q3,pct20to40,2900709,3629000,1463256,345565,174896,664105,290565,690614,728291,436883,284034,7374
2003:Q3,pct00to20,1405492,1707066,718335,183999,125286,159352,209450,310645,301574,156772,135160,9642
2003:Q4,pct99to100,9566766,10192997,2117183,467647,2982875,669630,1807907,2147755,626231,487517,43312,95402
2003:Q4,pct80to99,20327447,24336316,7236018,1281634,3697926,5887094,2318434,3915210,4008869,3145231,626962,236676
2003:Q4,pct60to80,9032230,11295344,3698643,833921,890025,3406431,660113,1806211,2263114,1677619,562806,22689
2003:Q4,pct40to60,4907552,6378253,2400294,568180,506124,1628807,362589,912258,1470700,992017,441744,36939
2003:Q4,pct20to40,2988755,3739350,1504277,343962,184744,672439,305359,728568,750595,452715,289552,8328
2003:Q4,pct00to20,1498342,1811622,792128,182320,132566,163922,210692,329993,313280,159776,138556,14948
2004:Q1,pct99to100,10547895,11199446,2274198,482824,3267877,687722,1901376,2585450,651551,505008,39857,106686
2004:Q1,pct80to99,21188117,25278044,7530926,1291687,3811359,5996472,2382740,4264860,4089927,3212921,629644,247362
2004:Q1,pct60to80,9441170,11736717,3869630,850554,925621,3504915,677845,1908152,2295547,1717974,556469,21104
2004:Q1,pct40to60,5091629,6591000,2494937,581598,522616,1664735,364957,962157,1499372,1021813,441256,36303
2004:Q1,pct20to40,2977174,3739082,1515354,344404,185420,666785,295474,731645,761909,468036,285920,7953
2004:Q1,pct00to20,1482579,1803936,758567,186690,135681,161665,211209,350124,321357,163947,143325,14085
2004:Q2,pct99to100,10766886,11450356,2337736,485842,3298372,703716,2088114,2536576,683471,528512,37236,117723
2004:Q2,pct80to99,21285730,25508190,7698606,1311039,3697005,6081533,2477856,4242151,4222460,3328436,636695,257329
2004:Q2,pct60to80,9629754,11987308,3999576,869304,903988,3598227,712852,1903361,2357555,1777755,559929,19871
2004:Q2,pct40to60,5199214,6744709,2611514,600174,521971,1697756,368259,945036,1545495,1063139,446477,35879
2004:Q2,pct20to40,2994550,3778812,1574314,341802,176092,659349,290937,736317,784261,488764,287972,7525
2004:Q2,pct00to20,1520500,1854033,826729,186949,134735,158931,204625,342064,333533,173634,146231,13668
2004:Q3,pct99to100,11272915,11966614,2454942,501487,3405345,720666,2263958,2620216,693698,549419,34948,109331
2004:Q3,pct80to99,21686228,26008799,8015835,1308907,3608454,6187205,2599250,4289147,4322570,3426271,651135,245164
2004:Q3,pct60to80,9776219,12206150,4112083,878772,898019,3641696,744344,1931236,2429931,1838711,576190,15030
2004:Q3,pct40to60,5291716,6890792,2706891,607701,520432,1728413,374987,952368,1599076,1103735,458360,36981
2004:Q3,pct20to40,2994054,3803446,1606937,339994,168562,654068,287952,745932,809391,507320,296043,6028
2004:Q3,pct00to20,1568833,1911653,876387,190976,132521,158073,206878,346818,342820,179948,148200,14672
2004:Q4,pct99to100,11932204,12664642,2521297,500754,3756324,786460,2366633,2733173,732438,555863,36830,139745
2004:Q4,pct80to99,22493547,26991820,8370300,1339323,3875664,6440432,2695184,4270917,4498273,3553123,665680,279470
2004:Q4,pct60to80,10169940,12703832,4280621,896425,975194,3713306,758787,2079498,2533891,1914820,602813,16258
2004:Q4,pct40to60,5421986,7049270,2767826,619336,531331,1784858,376974,968945,1627284,1131317,465774,30193
2004:Q4,pct20to40,3122191,3946656,1642140,349328,184539,682076,286815,801758,824465,513643,304027,6795
2004:Q4,pct00to20,1664645,2010108,898512,193005,139276,172620,215132,391563,345463,190383,144995,10085
2005:Q1,pct99to100,12151813,12877121,2596895,501224,3769056,814776,2409624,2785546,725308,556060,33434,135814
2005:Q1,pct80to99,23056034,27649604,8746295,1357576,3877392,6561240,2741520,4365582,4593570,3646379,673957,273234
2005:Q1,pct60to80,10064339,12698316,4426846,907813,982064,3650485,770984,1960125,2633978,2014486,601325,18167
2005:Q1,pct40to60,5485925,7133948,2812605,630477,523559,1785390,381846,1000071,1648023,1165826,453278,28919
2005:Q1,pct20to40,3165858,3977012,1663772,358173,189488,693371,292638,779570,811153,514831,289985,6337
2005:Q1,pct00to20,1673884,2027761,911453,199821,142214,179327,229584,365362,353877,191437,152995,9445
2005:Q2,pct99to100,12608278,13342740,2677853,511345,3910248,856424,2518163,2868707,734461,562913,33641,137907
2005:Q2,pct80to99,23766330,28509386,9169129,1371793,3983277,6743614,2838584,4402989,4743055,3786560,685057,271438
2005:Q2,pct60to80,10150600,12897411,4539205,919350,1015509,3637837,794228,1991281,2746811,2106374,616640,23797
2005:Q2,pct40to60,5543799,7225885,2843575,637354,522495,1806138,391531,1024792,1682086,1200050,453451,28585
2005:Q2,pct20to40,3238199,4056772,1677938,369840,198899,711607,299803,798686,818573,521733,290167,6673
2005:Q2,pct00to20,1746769,2112031,937682,208612,146965,188836,249048,380888,365262,202069,153433,9760
2005:Q3,pct99to100,13037178,13776089,2727861,505790,4167281,904253,2640587,2830316,738911,569895,34393,134623
2005:Q3,pct80to99,24448531,29342739,9545386,1392069,4171285,6924311,2946528,4363160,4894207,3930615,699683,263909
2005:Q3,pct60to80,10281384,13149277,4696254,929688,1072676,3643171,819513,1987975,2867893,2200422,639239,28232
2005:Q3,pct40to60,5629146,7350674,2914825,645176,524790,1835749,401929,1028205,1721528,1235105,457899,28524
2005:Q3,pct20to40,3345977,4176199,1730035,375774,212196,731991,308035,818168,830222,528798,294488,6936
2005:Q3,pct00to20,1845350,2221060,1002401,209412,152558,199944,269132,387613,375710,213155,152683,9872
2005:Q4,pct99to100,13387709,14120670,2780045,500265,4259361,950043,2725375,2905581,732961,574847,35365,122749
2005:Q4,pct80to99,25113710,30130949,9892699,1414438,4224425,7110912,3070412,4418063,5017240,4059512,712850,244878
2005:Q4,pct60to80,10448743,13428004,4850772,941495,1096147,3631104,831069,2077417,2979261,2284308,660368,34585
2005:Q4,pct40to60,5725736,7482862,2976396,655578,517665,1861231,409689,1062303,1757126,1264536,461855,30735
